,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales
1543,Need for Speed Carbon,Wii,2006,Racing,Electronic Arts,0.45,0.66,0.02,1.28
1544,Silent Hill 2,PS2,2001,Action,Konami Digital Entertainment,0.62,0.49,0.0,1.28
1545,Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,0.58,0.4,0.21,1.27
1546,Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1.03,0.14,0.0,1.27
1547,The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,0.69,0.47,0.0,1.27
1548,The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,1.22,0.05,0.0,1.27
1549,Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,0.4,0.33,0.4,1.27
1550,Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.48,0.35,0.36,1.27
1551,Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,0.44,0.29,0.47,1.27
1552,LEGO Batman: The Videogame,PS2,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.03,0.0,1.27
1553,Road Rash,PS,1995,Racing,Electronic Arts,0.71,0.48,0.0,1.27
1554,Atlantis,2600,1981,Shooter,Imagic,1.18,0.08,0.0,1.27
1555,NBA 2K9,X360,2008,Sports,Take-Two Interactive,1.0,0.16,0.0,1.27
1556,Tony Hawk's Underground,XB,2003,Sports,Activision,0.85,0.37,0.0,1.27
1557,Hogan's Alley,NES,1984,Shooter,Nintendo,0.68,0.16,0.41,1.27
1558,Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.47,0.17,1.27
1559,Mystery Case Files: MillionHeir,DS,2008,Adventure,Nintendo,0.75,0.39,0.0,1.27
1560,.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,1.27
1561,Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,0.96,0.2,0.0,1.27
1562,Valkyria Chronicles,PS3,2008,Role-Playing,Sega,0.71,0.19,0.24,1.27
1563,WWE '12,X360,2011,Fighting,THQ,0.74,0.4,0.0,1.27
1564,Sonic Adventure DX: Director's Cut,GC,2003,Platform,Sega,0.87,0.3,0.06,1.27
1565,Jet Li: Rise to Honor,PS2,2004,Action,Sony Computer Entertainment,0.62,0.48,0.0,1.27
1566,Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,1.27
1567,WWE '13,X360,2012,Action,THQ,0.72,0.44,0.0,1.27
1568,Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,Square Enix,0.43,0.36,0.32,1.27
1569,Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,0.33,0.69,0.05,1.27
1570,EA Sports Active 2,Wii,2010,Sports,Electronic Arts,0.76,0.39,0.0,1.26
1571,Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,0.39,0.72,0.0,1.26
1572,Devil Dice,PS,1998,Puzzle,THQ,0.05,0.03,1.1,1.26
1573,Football Manager 2011,PC,2010,Sports,Sega,0.0,1.01,0.0,1.26
1574,Brian Lara Cricket,PS,1998,Sports,Codemasters,0.02,1.13,0.01,1.26
1575,Championship Manager 03/04,PC,2003,Sports,Eidos Interactive,0.0,1.15,0.0,1.26
1576,Wheel of Fortune,PS,1998,Misc,Hasbro Interactive,0.99,0.22,0.0,1.26
1577,Tamagotchi Connection: Corner Shop,DS,2005,Simulation,Atari,0.1,0.02,1.12,1.26
1578,Tomb Raider: Underworld,PS3,2008,Action,Eidos Interactive,0.45,0.55,0.05,1.26
1579,Kung Fu Panda,DS,2008,Action,Activision,0.56,0.56,0.0,1.25
1580,LEGO Battles,DS,2009,Strategy,Warner Bros. Interactive Entertainment,0.77,0.37,0.0,1.25
1581,NBA Live 2001,PS,2000,Sports,Electronic Arts,0.7,0.47,0.0,1.25
1582,Saints Row IV,PS3,2013,Action,Deep Silver,0.56,0.41,0.09,1.25
1583,Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts,0.49,0.0,0.01,1.25
1585,Watch Dogs,X360,2014,Action,Ubisoft,0.72,0.41,0.01,1.25
1586,SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment,0.94,0.16,0.02,1.25
1587,Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,1.25
1588,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,1.25
1589,Reel Fishing,PS,1996,Sports,Natsume,0.99,0.13,0.1,1.25
1590,Need for Speed: Most Wanted,X360,2005,Racing,Electronic Arts,1.0,0.13,0.02,1.25
1591,Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,0.71,0.19,0.31,1.25
1592,Black,PS2,2006,Shooter,Electronic Arts,1.01,0.04,0.03,1.25
1593,Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,0.47,0.53,0.03,1.25
1594,LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment,0.35,0.61,0.02,1.25
1595,Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.48,0.35,0.34,1.25
1596,RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1.19,0.05,0.0,1.25
1597,Ratatouille,DS,2007,Action,THQ,0.49,0.62,0.0,1.25
1598,Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,0.61,0.48,0.0,1.25
1599,Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft,0.52,0.56,0.0,1.25
1600,Road Rash 3D,PS,1998,Racing,Electronic Arts,1.05,0.16,0.0,1.25
1601,Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,1.24
1602,Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,0.45,0.67,0.0,1.24
1603,Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,Virgin Interactive,0.61,0.48,0.0,1.24
1604,Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive,0.75,0.44,0.0,1.24
1605,Ridge Racer V,PS2,2000,Action,Namco Bandai Games,0.24,0.19,0.75,1.24
1606,WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ,0.69,0.0,0.0,1.24
1607,Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo,0.56,0.22,0.43,1.24
1609,Star Wars Episode III: Revenge of the Sith,XB,2005,Action,Activision,0.82,0.38,0.0,1.24
1610,[Prototype],PS3,2009,Action,Activision,0.65,0.4,0.0,1.24
1611,Transformers: Autobots / Decepticons,DS,2007,Action,Activision,1.12,0.02,0.0,1.24
1612,FIFA Street,PS3,2012,Sports,Electronic Arts,0.12,0.89,0.0,1.23
1613,Frogger: The Great Quest,PS2,2001,Platform,Konami Digital Entertainment,0.6,0.47,0.0,1.23
1614,Madden NFL 17,XOne,2016,Sports,Electronic Arts,1.08,0.02,0.0,1.23
1615,Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,0.92,0.2,0.07,1.23
1616,Cars 2,DS,2011,Racing,Disney Interactive Studios,0.68,0.4,0.04,1.23
1617,Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,Universal Interactive,0.59,0.57,0.0,1.23
1618,Driv3r,PS2,2004,Racing,Atari,0.6,0.47,0.0,1.23
1619,Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,0.43,0.47,0.05,1.23
1620,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003,Misc,Sony Computer Entertainment,0.69,0.47,0.0,1.23
1621,Kingdom Hearts II,PS3,2014,Role-Playing,Square Enix,0.52,0.35,0.18,1.23
1622,LEGO The Lord of the Rings,X360,2012,Action,Warner Bros. Interactive Entertainment,0.64,0.49,0.0,1.23
1623,Kirby Tilt 'n' Tumble,GB,2000,Puzzle,Nintendo,0.29,0.17,0.75,1.23
1624,SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003,Platform,THQ,0.88,0.33,0.0,1.23
1625,Vigilante 8,PS,1998,Racing,Activision,0.68,0.47,0.0,1.23
1626,Hyrule Warriors,WiiU,2014,Action,Nintendo,0.58,0.42,0.13,1.23
1627,Castlevania,NES,1986,Platform,Konami Digital Entertainment,0.54,0.06,0.62,1.23
1628,Donkey Kong Country 2,GBA,2004,Platform,Nintendo,0.79,0.27,0.12,1.23
1629,Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1.0,0.13,0.0,1.23
1630,"WarioWare, Inc.: Mega MicroGame$",GBA,2003,Puzzle,Nintendo,0.4,0.11,0.7,1.23
1631,Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,0.49,0.5,0.03,1.23
1632,Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,0.54,0.55,0.0,1.23
1633,2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,1.23
1634,Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games,0.29,0.18,0.67,1.22
1635,Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1.09,0.03,0.0,1.22
1636,Mario Power Tennis,GC,2004,Sports,Nintendo,0.58,0.16,0.46,1.22
1637,Intelligent Qube,PS,1997,Puzzle,Sony Computer Entertainment,0.13,0.07,1.0,1.22
1638,Pac-Man,NES,1984,Puzzle,Namco Bandai Games,0.27,0.08,0.85,1.22
1639,Game & Watch Gallery 2,GB,1997,Misc,Nintendo,0.76,0.3,0.12,1.22
1640,Game & Watch Gallery 3,GB,1999,Misc,Nintendo,0.79,0.31,0.08,1.22
1641,Parfait: Chocolat Second Style,PS2,2006,Adventure,Alchemist,0.59,0.46,0.01,1.22
1642,NBA Live 99,PS,1997,Sports,Electronic Arts,1.13,0.05,0.0,1.22
1643,Chocobo no Fushigi Dungeon,PS,1997,Role-Playing,SquareSoft,0.0,0.0,1.14,1.22
1644,Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo,0.61,0.27,0.27,1.22
1645,SimCity 2000,PS,1996,Simulation,Maxis,0.68,0.46,0.0,1.22
1646,Max Payne,XB,2001,Shooter,Take-Two Interactive,0.98,0.19,0.0,1.22
1647,WCW Mayhem,PS,1998,Fighting,Electronic Arts,0.68,0.46,0.0,1.22
1648,NBA 2K2,PS2,2002,Sports,Sega,0.59,0.46,0.01,1.22
1650,Cars,PS2,2006,Racing,THQ,1.01,0.04,0.0,1.21
1651,Fuzion Frenzy,XB,2001,Misc,Microsoft Game Studios,0.93,0.24,0.0,1.21
1652,Call of Duty: Finest Hour,XB,2004,Shooter,Activision,0.78,0.4,0.0,1.21
1653,Final Fantasy IV,DS,2007,Simulation,Square Enix,0.51,0.04,0.62,1.21
1654,Star Wars: Battlefront II,PSP,2005,Shooter,LucasArts,1.05,0.05,0.01,1.21
1655,Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,0.55,0.44,0.14,1.21
1656,Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony Computer Entertainment,1.03,0.14,0.0,1.21
1657,WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.41,0.6,0.0,1.21
1658,Star Wars Episode 1: Jedi Power Battles,PS,1999,Action,LucasArts,0.66,0.48,0.01,1.21
1659,Dino Crisis 2,PS,2000,Action,Virgin Interactive,0.34,0.49,0.28,1.21
1660,The Magical Quest starring Mickey Mouse,SNES,1992,Platform,Capcom,0.66,0.17,0.35,1.21
1661,Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Role-Playing,Enix Corporation,0.0,0.0,1.2,1.21
1662,Need for Speed Underground,GC,2003,Racing,Electronic Arts,0.69,0.48,0.01,1.21
1663,Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,Namco Bandai Games,0.42,0.46,0.15,1.21
1664,Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,0.25,0.69,0.03,1.21
1665,Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,0.72,0.37,0.01,1.21
1667,Bayonetta,PS3,2009,Action,Sega,0.44,0.39,0.21,1.21
1668,Test Drive 4,PS,1997,Racing,Electronic Arts,0.67,0.46,0.0,1.21
1669,Boom Blox,Wii,2008,Puzzle,Electronic Arts,0.71,0.38,0.0,1.21
1670,World Soccer Winning Eleven 9 (JP & Others sales),PSP,2005,Sports,Konami Digital Entertainment,0.01,0.88,0.31,1.2
1671,The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,Black Label Games,0.59,0.46,0.0,1.2
1672,The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,0.44,0.63,0.0,1.2
1673,FIFA Soccer 07,PSP,2006,Sports,Electronic Arts,0.25,0.64,0.0,1.2
1674,ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1.0,0.04,0.0,1.2
1675,F1 2011,PS3,2011,Racing,Codemasters,0.12,0.74,0.11,1.2
1676,Farming Simulator 2015,PC,2014,Simulation,Focus Home Interactive,0.08,1.04,0.0,1.2
1677,Pikmin 2,GC,2004,Strategy,Nintendo,0.48,0.13,0.56,1.2
1678,NFL 2K,DC,1999,Sports,Sega,1.12,0.05,0.0,1.2
1679,SolarStriker,GB,1989,Shooter,Nintendo,0.4,0.39,0.36,1.2
1680,TwinBee,NES,1986,Shooter,Konami Digital Entertainment,0.0,0.0,1.2,1.2
1681,Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,Konami Digital Entertainment,0.0,0.0,1.2,1.2
1682,Dragon Ball Z: La Legende Saien,SNES,1993,Fighting,Namco Bandai Games,0.0,0.0,1.2,1.2
1683,Enter the Matrix,XB,2003,Action,Atari,0.72,0.43,0.01,1.2
1684,Cars,PSP,2006,Racing,THQ,0.72,0.28,0.0,1.2
1685,NHL 2002,PS2,2001,Sports,Electronic Arts,0.59,0.46,0.0,1.2
1686,FIFA Soccer 11,PSP,2010,Sports,Electronic Arts,0.13,0.69,0.01,1.2
1687,Nuclear Strike,PS,1997,Simulation,Electronic Arts,0.66,0.45,0.0,1.19
1688,The Simpsons: Road Rage,GBA,2003,Racing,THQ,0.86,0.32,0.0,1.19
1689,LEGO Batman 2: DC Super Heroes,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.5,0.5,0.0,1.19
1690,Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,0.53,0.38,0.19,1.19
1691,SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002,Platform,THQ,0.92,0.23,0.0,1.19
1692,Pro Evolution Soccer 2008,Wii,2008,Sports,Konami Digital Entertainment,0.09,0.84,0.11,1.19
1693,Destiny: The Taken King,XOne,2015,Shooter,Activision,0.85,0.23,0.0,1.19
1694,Scarface: The World is Yours,PS2,2006,Action,Vivendi Games,0.99,0.04,0.0,1.19
1695,Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom,0.68,0.14,0.35,1.19
1696,Kobe Bryant in NBA Courtside,N64,1998,Sports,Nintendo,1.02,0.13,0.04,1.19
1697,The Dukes of Hazzard: Racing for Home,PS,1999,Racing,Ubisoft,0.99,0.16,0.0,1.19
1699,Disney Sing It,Wii,2008,Misc,Disney Interactive Studios,0.77,0.31,0.0,1.19
1700,WWE SmackDown vs Raw 2008,PSP,2007,Fighting,THQ,0.45,0.47,0.0,1.19
1701,Spider-Man: The Movie,GC,2002,Action,Activision,0.86,0.27,0.01,1.19
1702,Final Fantasy I & II: Dawn of Souls,GBA,2004,Role-Playing,Nintendo,0.64,0.24,0.29,1.19
1703,Mario vs. Donkey Kong 2: March of the Minis,DS,2006,Puzzle,Nintendo,0.73,0.03,0.36,1.19
1704,Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami Digital Entertainment,0.38,0.35,0.38,1.18
1705,Metal Gear Solid VR Missions,PS,1999,Adventure,Konami Digital Entertainment,0.66,0.45,0.0,1.18
1706,LEGO Indiana Jones 2: The Adventure Continues,DS,2009,Action,Activision,0.65,0.42,0.0,1.18
1707,Mario & Sonic at the London 2012 Olympic Games,3DS,2012,Sports,Sega,0.18,0.64,0.27,1.18
1708,Pole Position,2600,1982,Racing,Atari,1.1,0.07,0.0,1.18
1709,Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment,0.48,0.5,0.01,1.18
1710,Mario Tennis,GB,2000,Sports,Nintendo,0.5,0.18,0.44,1.18
1711,Shenmue,DC,1999,Adventure,Sega,0.52,0.24,0.38,1.18
1712,Pro Yakyuu Family Stadium '88,NES,1988,Sports,Namco Bandai Games,0.1,0.0,1.08,1.18
1713,Just Dance 4,X360,2012,Misc,Ubisoft,0.9,0.19,0.0,1.18
1714,Tony Hawk's Pro Skater 2,GBA,2001,Sports,Activision,0.85,0.31,0.0,1.18
1715,One Piece: Pirate Warriors,PS3,2012,Action,Namco Bandai Games,0.01,0.23,0.86,1.18
1716,Super Ghouls 'n Ghosts,SNES,1991,Platform,Capcom,0.5,0.14,0.52,1.18
1717,Soviet Strike,PS,1996,Simulation,Electronic Arts,0.65,0.44,0.0,1.17
1718,Gun,PS2,2005,Shooter,Activision,0.98,0.04,0.0,1.17
1719,Ty the Tasmanian Tiger,PS2,2002,Platform,Electronic Arts,0.57,0.45,0.0,1.17
1720,Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom,0.48,0.24,0.36,1.17
1721,Mega Man 3,NES,1990,Platform,Capcom,0.68,0.1,0.39,1.17
1722,LEGO Indiana Jones: The Original Adventures,PSP,2008,Action,LucasArts,0.4,0.48,0.0,1.17
1723,PokéPark Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,0.53,0.16,0.42,1.17
1724,WWE '12,PS3,2011,Fighting,THQ,0.53,0.45,0.02,1.17
1725,Mad Max (2015),PS4,2015,Action,Warner Bros. Interactive Entertainment,0.36,0.59,0.04,1.17
1726,Romancing SaGa 2,SNES,1993,Role-Playing,SquareSoft,0.0,0.0,1.17,1.17
1727,Mission: Impossible,N64,1997,Action,Ocean,0.74,0.38,0.02,1.17
1728,Cabela's Dangerous Hunts,PS2,2003,Sports,Zoo Digital Publishing,0.57,0.45,0.0,1.17
1729,Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,0.39,0.69,0.0,1.17
1730,Fallout: New Vegas,PC,2010,Role-Playing,Bethesda Softworks,0.59,0.45,0.0,1.17
1731,Cool Boarders 4,PS,1998,Sports,989 Studios,0.65,0.44,0.0,1.17
1732,WWE SmackDown vs. Raw 2010,PS3,2009,Fighting,THQ,0.48,0.48,0.01,1.17
1733,Rage Racer,PS,1996,Racing,Sony Computer Entertainment,0.16,0.11,0.83,1.17
1734,Medal of Honor: Rising Sun,XB,2003,Shooter,Electronic Arts,0.76,0.36,0.0,1.17
1735,Army of Two,PS3,2008,Shooter,Electronic Arts,0.74,0.26,0.02,1.17
1736,Spore,PC,2008,Strategy,Electronic Arts,0.03,1.06,0.0,1.17
1737,Destruction Derby 2,PS,1996,Racing,Psygnosis,0.65,0.44,0.0,1.17
1738,Mario vs. Donkey Kong,GBA,2004,Puzzle,Nintendo,0.68,0.25,0.21,1.17
1739,LEGO Star Wars III: The Clone Wars,PS3,2011,Action,LucasArts,0.52,0.46,0.0,1.16
1740,Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive,0.97,0.04,0.0,1.16
1741,Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004,Shooter,Ubisoft,0.57,0.44,0.0,1.16
1742,Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,1.16
1743,Mirror's Edge,X360,2008,Platform,Electronic Arts,0.51,0.51,0.01,1.16
1744,Sonic the Hedgehog,PS3,2006,Platform,Sega,0.41,0.06,0.04,1.16
1745,NASCAR Thunder 2002,PS2,2001,Racing,Electronic Arts,0.57,0.44,0.0,1.16
1746,Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,2002,Role-Playing,Konami Digital Entertainment,0.84,0.27,0.0,1.16
1747,Sega Rally Championship,SAT,1995,Racing,Sega,0.21,0.16,0.77,1.16
1748,Jet Force Gemini,N64,1999,Shooter,Nintendo,0.78,0.28,0.07,1.16
1749,Mega Man X,SNES,1993,Platform,Capcom,0.57,0.08,0.5,1.16
1750,Test Drive: Off Road,PS,1997,Racing,Eidos Interactive,0.65,0.44,0.0,1.16
1751,Your Shape: Fitness Evolved 2012,X360,2011,Sports,Ubisoft,0.7,0.36,0.0,1.16
1752,FIFA 14,XOne,2013,Sports,Electronic Arts,0.41,0.66,0.0,1.16
1753,Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,0.45,0.24,0.3,1.16
1754,LEGO Star Wars: The Video Game,XB,2005,Action,Eidos Interactive,0.83,0.28,0.0,1.16
1755,Sniper: Ghost Warrior,X360,2010,Shooter,City Interactive,0.54,0.5,0.0,1.16
1756,Sonic Rush Adventure,DS,2007,Platform,Sega,0.53,0.48,0.01,1.15
1757,Worldwide Soccer Manager 2009,PC,2008,Simulation,Sega,0.0,1.14,0.0,1.15
1758,Gauntlet: Dark Legacy,PS2,2001,Action,Midway Games,0.56,0.44,0.0,1.15
1759,Medal of Honor Heroes 2,PSP,2007,Shooter,Electronic Arts,0.5,0.39,0.02,1.15
1760,Bad Boys: Miami Takedown,PS2,2004,Shooter,Empire Interactive,0.56,0.44,0.0,1.15
1761,Wario Land: Shake It!,Wii,2008,Platform,Nintendo,0.59,0.31,0.15,1.15
1762,Football Manager 2013,PC,2012,Sports,Sega,0.0,0.95,0.0,1.15
1763,Kaboom!,2600,1980,Misc,Activision,1.07,0.07,0.0,1.15
1764,Medal of Honor: Warfighter,X360,2012,Action,Electronic Arts,0.59,0.45,0.01,1.15
1765,Qix,GB,1990,Puzzle,Nintendo,0.51,0.2,0.41,1.15
1766,Derby Stallion III,SNES,1995,Sports,ASCII Entertainment,0.0,0.0,1.15,1.15
1767,Doraemon,NES,1986,Action,Hudson Soft,0.0,0.0,1.15,1.15
1768,High School Musical 2: Work This Out!,DS,2008,Misc,Disney Interactive Studios,0.5,0.52,0.0,1.15
1769,FIFA Soccer 10,PSP,2009,Sports,Electronic Arts,0.15,0.67,0.01,1.15
1770,Donkey Konga,GC,2003,Misc,Nintendo,0.5,0.16,0.46,1.15
1771,Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,0.0,1.12,0.0,1.15
1772,Dragon Quest I & II,SNES,1993,Role-Playing,Enix Corporation,0.0,0.0,1.15,1.15
1773,Tak and the Power of Juju,PS2,2003,Platform,THQ,0.56,0.44,0.0,1.15
1774,WWE 2K15,PS4,2014,Sports,Take-Two Interactive,0.39,0.57,0.0,1.15
1775,Asteroids,PS,1998,Shooter,Success,0.64,0.43,0.0,1.15
1776,Puyo Puyo Sun Ketteiban,PS,1997,Puzzle,Compile,0.0,0.0,1.07,1.15
1777,Action Bass,PS,2000,Action,Take-Two Interactive,0.64,0.43,0.0,1.14
1778,Tenchu: Wrath of Heaven,PS2,2003,Action,Activision,0.44,0.34,0.25,1.14
1779,Shadow of the Colossus,PS2,2005,Action,Sony Computer Entertainment,0.78,0.03,0.2,1.14
1780,Brave Fencer Musashi,PS,1998,Role-Playing,SquareSoft,0.25,0.17,0.65,1.14
1781,Ninja Gaiden Sigma,PS3,2007,Action,Eidos Interactive,0.57,0.32,0.09,1.14
1782,WWE 2K14,PS3,2013,Sports,Take-Two Interactive,0.49,0.46,0.0,1.14
1783,Pokemon Rumble Blast,3DS,2011,Action,Nintendo,0.47,0.26,0.35,1.14
1784,007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.51,0.02,1.14
1785,Dance Dance Revolution Extreme 2,PS2,2005,Simulation,Konami Digital Entertainment,0.95,0.04,0.0,1.14
1786,Resident Evil - Code: Veronica,DC,2000,Action,Eidos Interactive,0.41,0.23,0.47,1.14
1787,Super R.C. Pro-Am,GB,1991,Racing,Nintendo,0.58,0.37,0.15,1.14
1788,South Park,N64,1998,Shooter,Acclaim Entertainment,0.9,0.23,0.0,1.14
1789,Commando,NES,1986,Action,Capcom,0.71,0.16,0.25,1.14
1790,Pilotwings,SNES,1990,Simulation,Nintendo,0.46,0.17,0.48,1.14
1791,The Lord of the Rings: The Return of the King,XB,2003,Action,Electronic Arts,0.71,0.38,0.0,1.14
1792,LEGO Star Wars: The Video Game,GBA,2005,Action,Eidos Interactive,0.82,0.3,0.0,1.14
1793,Hot Shots Golf: Out of Bounds,PS3,2007,Sports,Sony Computer Entertainment,0.31,0.03,0.76,1.14
1794,Royal Palace of White Sword and The City of Gentiles,PS2,2005,Role-Playing,Take-Two Interactive,0.0,0.51,0.0,1.14
1795,Red Dead Redemption: Undead Nightmare,PS3,2010,Action,Take-Two Interactive,0.45,0.45,0.06,1.14
1796,Ratchet & Clank: All 4 One,PS3,2011,Platform,Sony Computer Entertainment,0.75,0.21,0.05,1.14
1797,Sunset Overdrive,XOne,2014,Shooter,Microsoft Game Studios,0.63,0.4,0.0,1.14
1798,Mobile Suit Gundam: Federation vs. Zeon,PS2,2001,Simulation,Atari,0.12,0.1,0.88,1.14
1799,Need for Speed Underground 2,GC,2004,Racing,Electronic Arts,0.7,0.39,0.01,1.14
1800,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.41,0.45,0.11,1.14
1801,MechAssault,XB,2002,Simulation,Microsoft Game Studios,1.01,0.1,0.0,1.13
1802,EA Sports Active: More Workouts,Wii,2009,Sports,Electronic Arts,0.76,0.27,0.0,1.13
1803,Derby Stallion 99,PS,1999,Sports,ASCII Entertainment,0.0,0.0,1.06,1.13
1804,Cars,GBA,2006,Racing,THQ,0.81,0.3,0.0,1.13
1805,Watch Dogs 2,PS4,2016,Action,Ubisoft,0.37,0.58,0.0,1.13
1806,LEGO Star Wars III: The Clone Wars,3DS,2011,Action,LucasArts,0.61,0.43,0.0,1.13
1807,Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004,Shooter,Ubisoft,0.99,0.12,0.0,1.13
1808,Donkey Kong,NES,1983,Platform,Nintendo,0.23,0.05,0.84,1.13
1809,Mirror's Edge,PS3,2008,Platform,Electronic Arts,0.31,0.58,0.02,1.13
1810,Guitar Hero 5,X360,2009,Misc,Activision,0.65,0.37,0.0,1.13
1811,Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.57,0.04,1.13
1812,Jampack Winter '98,PS,1998,Misc,Sony Computer Entertainment,0.63,0.43,0.0,1.13
1813,Fantasy Life,3DS,2012,Role-Playing,Nintendo,0.33,0.37,0.37,1.13
1814,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,2005,Role-Playing,Nintendo,0.81,0.3,0.0,1.13
1815,SingStar,PS3,2007,Misc,Sony Computer Entertainment,0.45,0.56,0.0,1.13
1816,The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo,0.53,0.33,0.17,1.12
1817,Moon Patrol,2600,1982,Shooter,Atari,1.05,0.06,0.0,1.12
1818,Supercar Street Challenge,PS2,2001,Racing,Activision,0.55,0.43,0.0,1.12
1819,Pilotwings 64,N64,1996,Simulation,Nintendo,0.56,0.24,0.3,1.12
1820,Rabbids Go Home,Wii,2009,Platform,Ubisoft,0.25,0.74,0.0,1.12
1821,ModNation Racers,PS3,2010,Racing,Sony Computer Entertainment,0.5,0.4,0.06,1.12
1822,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005,Shooter,Sony Computer Entertainment,1.03,0.0,0.01,1.12
